,title,description,url,urlToImage,publishedAt,author,sumber,hasil_sentimen
0,Tonton Blak-blakan DirutÂ AirAsia: 4 Rahasia Tiket Murah,"Selengkapnya tonton Blak-blakan Dendy Kurniawan, Rahasia Tiket Murah AirAsia di detikcom, Senin (12/8/2019) pukul 09.00 WIB.",https://finance.detik.com/berita-ekonomi-bisnis/d-4661632/tonton-blak-blakan-dirutairasia-4-rahasia-tiket-murah,https://awsimages.detik.net.id/api/wm/2019/04/22/9a863eab-e390-424c-beec-878909aabf30_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-11T23:22:05Z,Herdi Alif Al Hikam,Detik.com,
1,2 Model Bela Victoria's Secret Setelah Keluar Petisi Soal Pelecehan Seks,Para Victoria's Secret menandatangani surat terbuka agar melindungi modelnya dari pelecehan seks. Namun dua model ini tidak setuju dengan petisi tersebut.,https://wolipop.detik.com/fashion-news/d-4661700/2-model-bela-victorias-secret-setelah-keluar-petisi-soal-pelecehan-seks,https://awsimages.detik.net.id/api/wm/2018/11/09/f5e639fd-fe8c-4d36-bb70-ab6b269e3183_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-12T01:28:34Z,Kiki Oktaviani,Detik.com,
2,Tantangan Bisnis Rumah Sakit di Tengah Listrik Byarpet,"Insiden listrik padam massal di setengah Pulau Jawa pekan lalu berdampak pada banyak hal, salah satunya adalah rumah sakit (RS).",https://finance.detik.com/energi/d-4660645/tantangan-bisnis-rumah-sakit-di-tengah-listrik-byarpet,https://awsimages.detik.net.id/api/wm/2018/03/04/87d167f7-fc05-4288-8c0a-6039c2adc9e3_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-10T12:05:51Z,Vadhia Lidyana,Detik.com,
3,"Tiket Tak Ada di Traveloka Cs, Bos AirAsia: Dihilangkan, Bukan Hilang","Maskapai penerbangan AirAsia Indonesia, awal tahun lalu sempat membuat geger industri penerbangan. Pasalnya, tiket AirAsia hilang dari online travel agent.",https://finance.detik.com/berita-ekonomi-bisnis/d-4662325/tiket-tak-ada-di-traveloka-cs-bos-airasia-dihilangkan-bukan-hilang,https://awsimages.detik.net.id/api/wm/2019/08/12/6b493628-6cf8-4bee-b68c-799e04b97d5c_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-12T07:46:07Z,Herdi Alif Al Hikam,Detik.com,
4,Kata Pedagang Online yang Jualan Offline di JCC,idEA dan Traya Indonesia mengajak 250 pedagang online untuk menjajakan dagangannya di Jakarta Convention Center (JCC) selama empat hari.,https://finance.detik.com/berita-ekonomi-bisnis/d-4666917/kata-pedagang-online-yang-jualan-offline-di-jcc,https://awsimages.detik.net.id/api/wm/2019/08/15/bb91084f-3422-4cb5-bcad-ed25ddc1403d_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-15T08:05:38Z,Vadhia Lidyana,Detik.com,
5,"Jelang HUT RI ke-74, Emirates Punya Harga Tiket Spesial","Bertepatan dengan perayaan Hari Kemerdekaan Indonesia yang ke-74, Emirates punya harga tiket khusus dengan waktu terbatas ke beberapa destinasi.",https://travel.detik.com/travel-news/d-4665972/jelang-hut-ri-ke-74-emirates-punya-harga-tiket-spesial,https://awsimages.detik.net.id/api/wm/2017/01/09/29cfb5f4-4038-4293-badb-49beeb00bd0d_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-14T14:35:00Z,Wahyu Setyo Widodo,Detik.com,
6,Amuk Maut Gigolo yang Dibilang Tak Memuaskan,"Pertemuan Yuni dengan Gustu berawal dari transaksi jual beli mobil. Namun ternyata, pertemuan tersebut justru berujung maut.",https://news.detik.com/berita/d-4663214/amuk-maut-gigolo-yang-dibilang-tak-memuaskan,https://awsimages.detik.net.id/api/wm/2019/08/12/118bd8d0-f428-46fe-a7ab-c72da8e6da93_169.jpeg?wid=54&w=650&v=1&t=jpeg,2019-08-13T01:14:44Z,Tim detikcom,Detik.com,
